proxyId;institution;collection;category;validScientificNameId;validScientificName;validScientificNameAuthorship;preferredPopularName;taxonGroupName;collector;dateTimeCollected;locality;coordinateUncertaintyInMeters;municipality;county;individualCount;basisOfRecord;identifiedBy;validated;catalogNumber;latitude;longitude;east;north;geometry;scientificNameRank;behavior;unspontaneus;unsureIdentification;hasImage;absent;notRecovered;dateLastModified;dateLastIdentified;occurrenceId;datasetName;datasetId;notes;habitat;sex;collectingMethod;recordNumber;fieldNumber;measurementMethod;georeferenceRemarks;preparations;otherCatalogNumbers;relatedResourceId;relationshipOfResource;typeStatus;eventTime;maximumElevationInMeters;minimumElevationInMeters;verbatimDepth;dynamicProperties;nodeId;institutionCode;collectionCode;popularNames;associatedReferences;hasErrors;blocked;qualityIssue
urn:uuid:1aadef4b-004c-48da-926e-761903d5f84f;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;VU;4096;Fulica atra;Linnaeus, 1758;sothøne;Fugler;Renate Cadow;08.05.2021 00:00:00;Kleivvatnet, Andøy, No;300;Andøy;Nordland;1;HumanObservasjon;Validator: Andreas Winnem;True;26628153;69,307254;16,095034;543181;7689009;POINT (543181 7689009);species;;False;False;True;False;False;24.05.2022 14:50:13;;urn:uuid:1aadef4b-004c-48da-926e-761903d5f84f;;00000000-0000-0000-0000-000000000000;Validationstatus: Approved Media;;;;;;;OR;;;;;;13.0/14.0;;;;"{""ValidationStatus"":""Approved Media"",""EventDate"":""2021-05-08/2021-05-08"",""EventTime"":""13:00:00/14:00:00"",""Day"":""8"",""Month"":""5"",""Year"":""2021"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""1""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""sothøne""},{""Lang"":""nn-NO"",""Name"":""sothøne""},{""Lang"":""se-NO"",""Name"":""giehpavuonccis""}]";https://www.artsobservasjoner.no/Sighting/26628153;False;False;False
urn:uuid:dd82383d-53c4-439c-b7c4-8b1c8f369ba4;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;LC;3510;Cygnus cygnus;(Linnaeus, 1758);sangsvane;Fugler;Steven Henriksen;21.05.2022 00:00:00;Kleivvatnet, Andøy, No;300;Andøy;Nordland;1;HumanObservasjon;Validator: Steve Baines;True;29361355;69,307254;16,095034;543181;7689009;POINT (543181 7689009);species;reproductive;False;False;False;False;False;20.02.2023 10:48:54;;urn:uuid:dd82383d-53c4-439c-b7c4-8b1c8f369ba4;;00000000-0000-0000-0000-000000000000;Activity: BroodOnEggs. Validationstatus: Approved Documented;;female;;;;;OR;;;;;;;;;;"{""Activity"":""BroodOnEggs"",""ValidationStatus"":""Approved Documented"",""EventDate"":""2022-05-21/2022-05-21"",""Day"":""21"",""Month"":""5"",""Year"":""2022"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""1""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""sangsvane""},{""Lang"":""nn-NO"",""Name"":""songsvane""},{""Lang"":""se-NO"",""Name"":""njukča""}]";https://www.artsobservasjoner.no/Sighting/29361355;False;False;False
urn:catalog:nina:tov-e:202118672560;Norsk institutt for naturforskning;norwegian bird monitoring hos Norsk institutt for naturforskning;VU;3677;Larus argentatus;Pontoppidan, 1763;gråmåke;Fugler;;16.06.2021 00:00:00;Røyken;5000;Andøy;Nordland;52;HumanObservasjon;;False;202118672560;69,28087;16,13257;544716;7686094;POINT (544716 7686094);species;;False;False;False;False;False;06.11.2023 11:09:34;;urn:catalog:NINA:TOV-E:202118672560;Norwegian bird monitoring;00000000-0000-0000-0000-000000000000;aggregated count for 15 sampling points situated less than 5000m from location;;;;;;;;;;;;;;360;20;;"{""EventID"":""474F9FF3-6322-43C4-8B31-3089A9453E96"",""EventDate"":""2021-06-16"",""EventTime"":""04:00/09:00"",""SamplingProtocol"":""https://hekkefuglovervakingen.nina.no/Fugl/public/papirskjema/MethodologyEng.pdf"",""SamplingEffort"":""300 minutes/15 sampling points"",""SampleSizeValue"":""5636.0"",""SampleSizeUnit"":""metre"",""Day"":""16"",""Month"":""6"",""Year"":""2021"",""OrganismQuantity"":""52"",""OrganismQuantityType"":""pairs"",""type"":""Occurrence"",""vernacularName"":""Gråmåke"",""informationWithheld"":""Exact location withheld to protect long-term study. Observers identity withheld due to GDPR restrictions"",""dataGeneralizations"":""Location laid out randomly within 5km from centre point"",""municipality"":""Andøy""}";351;NINA;norwegian bird monitoring;"[{""Lang"":""nb-NO"",""Name"":""gråmåke""},{""Lang"":""nn-NO"",""Name"":""gråmåse""},{""Lang"":""se-NO"",""Name"":""skávli""}]";;False;False;False
urn:uuid:fb6ea221-fbf6-40d1-b4cd-79249db2413d;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;NT;3776;Numenius phaeopus;(Linnaeus, 1758);småspove;Fugler;Arne Heggland|Håvard Hjermstad-Sollerud;26.06.2024 00:00:00;Haugenes-Storneset, Andøy, No;1066;Andøy;Nordland;7;HumanObservasjon;;True;36063731;69,293775;16,155913;545610;7687550;POLYGON ((545367 7688054, 545219 7688189, 545128 7688147, 545253 7687906, 545390 7687822, 545432 7687589, 545809 7686953, 545968 7686911, 545996 7687017, 545807 7687266, 545788 7687476, 545692 7687764, 545543 7687892, 545503 7688008, 545428 7687995, 545367 7688054));species;stationary;False;False;False;False;False;23.03.2025 11:47:04;;urn:uuid:fb6ea221-fbf6-40d1-b4cd-79249db2413d;;00000000-0000-0000-0000-000000000000;Activity: Resting. Validationstatus: Approved Documented;;;;;;;;;;;;;;;;;"{""Activity"":""Resting"",""ValidationStatus"":""Approved Documented"",""EventDate"":""2024-06-26/2024-06-26"",""Day"":""26"",""Month"":""6"",""Year"":""2024"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""7"",""IdentificationRemarks"":""Validator: Steve Baines""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""småspove""},{""Lang"":""nn-NO"",""Name"":""småspove""},{""Lang"":""se-NO"",""Name"":""unnaguškkástat""}]";https://mobil.artsobservasjoner.no/sighting/36063731;False;False;False
urn:catalog:clo:ebird:obs1800243555;GBIF-noder utenfor Norge;import hos GBIF-noder utenfor Norge;VU;3813;Stercorarius parasiticus;(Linnaeus, 1758);tyvjo;Fugler;obsr810318;31.07.2023 00:00:00;Andenes Marshlands;;Andøy;Nordland;5;HumanObservasjon;;False;4658601669;69,27309;16,090551;543072;7685197;POINT (543072 7685197);species;;False;False;False;False;False;31.07.2023 00:00:00;;URN:catalog:CLO:EBIRD:OBS1800243555;clo - ebird;00000000-0000-0000-0000-000000000000;http://www.gbif.org/occurrence/4658601669;;;;;;;;;;;;;;;;;"{""ContinentOcean"":""EUROPE"",""gbifID"":""4658601669"",""publisher"":""Cornell Lab of Ornithology"",""acceptedNameUsageID"":""2481621"",""taxonConceptID"":""avibase-39086887"",""vernacularName"":""Parasitic Jaeger"",""taxonomicStatus"":""ACCEPTED"",""datasetKey"":""4fa7b334-ce0d-4e88-aaae-2e0c138d049e"",""publishingCountry"":""NO"",""isSequenced"":""false"",""gbifRegion"":""EUROPE"",""publishedByGbifRegion"":""EUROPE""}";440;GBIF;import;"[{""Lang"":""nb-NO"",""Name"":""tyvjo""},{""Lang"":""nn-NO"",""Name"":""tjuvjo""},{""Lang"":""se-NO"",""Name"":""mearraháskil""}]";;False;False;False
urn:catalog:clo:ebird:obs703949460;GBIF-noder utenfor Norge;import hos GBIF-noder utenfor Norge;NT;204584;Mareca strepera;(Linnaeus, 1758);snadderand;Fugler;obsr1014643;12.07.2007 00:00:00;Storvatnet;;Andøy;Nordland;4;HumanObservasjon;;False;2230637908;69,27174;16,043043;541199;7685014;POINT (541199 7685014);species;;False;False;False;False;False;12.07.2007 00:00:00;;URN:catalog:CLO:EBIRD:OBS703949460;clo - ebird;00000000-0000-0000-0000-000000000000;http://www.gbif.org/occurrence/2230637908;;;;;;;;;;;;;;;;;"{""ContinentOcean"":""EUROPE"",""gbifID"":""2230637908"",""publisher"":""Cornell Lab of Ornithology"",""acceptedNameUsageID"":""9362027"",""taxonConceptID"":""avibase-C235A4D7"",""vernacularName"":""Gadwall"",""taxonomicStatus"":""ACCEPTED"",""datasetKey"":""4fa7b334-ce0d-4e88-aaae-2e0c138d049e"",""publishingCountry"":""NO"",""isSequenced"":""false"",""gbifRegion"":""EUROPE"",""publishedByGbifRegion"":""EUROPE""}";440;GBIF;import;"[{""Lang"":""nb-NO"",""Name"":""snadderand""},{""Lang"":""nn-NO"",""Name"":""snadderand""},{""Lang"":""se-NO"",""Name"":""ránessnárttal""}]";;False;False;False
urn:catalog:clo:ebird:obs1801739479;GBIF-noder utenfor Norge;import hos GBIF-noder utenfor Norge;VU;3813;Stercorarius parasiticus;(Linnaeus, 1758);tyvjo;Fugler;obsr1583418;11.08.2023 00:00:00;Kleivvatnet;;Andøy;Nordland;1;HumanObservasjon;;False;4697390723;69,3084;16,092579;543082;7689135;POINT (543082 7689135);species;;False;False;False;False;False;11.08.2023 00:00:00;;URN:catalog:CLO:EBIRD:OBS1801739479;clo - ebird;00000000-0000-0000-0000-000000000000;http://www.gbif.org/occurrence/4697390723;;;;;;;;;;;;;;;;;"{""ContinentOcean"":""EUROPE"",""gbifID"":""4697390723"",""publisher"":""Cornell Lab of Ornithology"",""acceptedNameUsageID"":""2481621"",""taxonConceptID"":""avibase-39086887"",""vernacularName"":""Parasitic Jaeger"",""taxonomicStatus"":""ACCEPTED"",""datasetKey"":""4fa7b334-ce0d-4e88-aaae-2e0c138d049e"",""publishingCountry"":""NO"",""isSequenced"":""false"",""gbifRegion"":""EUROPE"",""publishedByGbifRegion"":""EUROPE""}";440;GBIF;import;"[{""Lang"":""nb-NO"",""Name"":""tyvjo""},{""Lang"":""nn-NO"",""Name"":""tjuvjo""},{""Lang"":""se-NO"",""Name"":""mearraháskil""}]";;False;False;False
urn:uuid:703a9639-7e34-42bc-96bd-39a37c8e7963;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;NT;3799;Tringa totanus;(Linnaeus, 1758);rødstilk;Fugler;Knut Olsen|Tor Olsen;22.05.2015 00:00:00;Kleivvatnet, Andøy, No;300;Andøy;Nordland;2;HumanObservasjon;;False;12657501;69,307254;16,095034;543181;7689009;POINT (543181 7689009);species;possiblereproductive;False;False;False;False;False;11.06.2015 22:13:14;;urn:uuid:703a9639-7e34-42bc-96bd-39a37c8e7963;;00000000-0000-0000-0000-000000000000;Activity: PairInSuitableHabitat.;;in pair;;;;;OR;;;;;;22.08;;;;"{""Activity"":""PairInSuitableHabitat"",""EventDate"":""2015-05-22/2015-05-22"",""EventTime"":""22:05:00/22:05:00"",""Day"":""22"",""Month"":""5"",""Year"":""2015"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""2""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""rødstilk""},{""Lang"":""nn-NO"",""Name"":""raudstilk""},{""Lang"":""se-NO"",""Name"":""ruksesjuolčoavžžu""}]";https://www.artsobservasjoner.no/Sighting/12657501;False;False;False
urn:uuid:aa1c7b6b-7976-4fad-a2a9-d9ca66fd261a;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;LC;3487;Aythya fuligula;(Linnaeus, 1758);toppand;Fugler;Oddvar Heggøy|Martin Eggen;26.06.2016 00:00:00;Kleivvatnet, Andøy, No;300;Andøy;Nordland;15;HumanObservasjon;;False;15207350;69,307254;16,095034;543181;7689009;POINT (543181 7689009);species;;False;False;False;False;False;15.08.2016 10:57:34;;urn:uuid:aa1c7b6b-7976-4fad-a2a9-d9ca66fd261a;;00000000-0000-0000-0000-000000000000;;;;;;;;OR;;;;;;;;;;"{""EventDate"":""2016-06-26/2016-06-26"",""Day"":""26"",""Month"":""6"",""Year"":""2016"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""15""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""toppand""},{""Lang"":""nn-NO"",""Name"":""toppand""},{""Lang"":""se-NO"",""Name"":""diehppefiehta""}]";https://www.artsobservasjoner.no/Sighting/15207350;False;False;False
urn:uuid:fc452c23-f4bc-4242-a078-840df61d5c60;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;LC;3461;Anas platyrhynchos;Linnaeus, 1758;stokkand;Fugler;Martin Eggen|Oddvar Heggøy;03.07.2017 00:00:00;Kleivvatnet, Andøy, No;300;Andøy;Nordland;21;HumanObservasjon;Validator: Steve Baines;True;17569080;69,307254;16,095034;543181;7689009;POINT (543181 7689009);species;possiblereproductive;False;False;False;False;False;17.11.2020 09:04:54;;urn:uuid:fc452c23-f4bc-4242-a078-840df61d5c60;;00000000-0000-0000-0000-000000000000;Activity: InNestingHabitat. Validationstatus: Approved Documented;;;;;;;OR;;;;;;;;;;"{""Activity"":""InNestingHabitat"",""ValidationStatus"":""Approved Documented"",""EventDate"":""2017-07-03/2017-07-03"",""Day"":""3"",""Month"":""7"",""Year"":""2017"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""21""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""stokkand""},{""Lang"":""nn-NO"",""Name"":""stokkand""},{""Lang"":""se-NO"",""Name"":""duoršu""}]";https://www.artsobservasjoner.no/Sighting/17569080;False;False;False
