category;validScientificNameId;validScientificName;preferredPopularName;taxonGroupName;collector;dateTimeCollected;locality;coordinateUncertaintyInMeters;municipality;county;individualCount;latitude;longitude;geometry;scientificNameRank;behavior;notes;sex;Ansvarsarter;Trua arter;Andre spesielt hensynskrevende arter;Spesielle okologiske former;Prioriterte arter;Fredete arter;NT;Fremmede arter
VU;4096;Fulica atra;sothøne;Fugler;Renate Cadow;08.05.2021 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;;Validationstatus: Approved Media;;No;Yes;No;No;No;No;No;No
LC;3510;Cygnus cygnus;sangsvane;Fugler;Steven Henriksen;21.05.2022 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: BroodOnEggs. Validationstatus: Approved Documented;female;No;No;No;No;No;No;No;No
VU;3677;Larus argentatus;gråmåke;Fugler;;16.06.2021 00:00:00;Røyken;5000.0;Andøy;Nordland;52;69,28087;16,13257;POINT (544716 7686094);species;;aggregated count for 15 sampling points situated less than 5000m from location;;No;Yes;No;No;No;No;No;No
NT;3776;Numenius phaeopus;småspove;Fugler;Arne Heggland|Håvard Hjermstad-Sollerud;26.06.2024 00:00:00;Haugenes-Storneset, Andøy, No;1066.0;Andøy;Nordland;7;69,293775;16,155913;POLYGON ((545367 7688054, 545219 7688189, 545128 7688147, 545253 7687906, 545390 7687822, 545432 7687589, 545809 7686953, 545968 7686911, 545996 7687017, 545807 7687266, 545788 7687476, 545692 7687764, 545543 7687892, 545503 7688008, 545428 7687995, 545367 7688054));species;stationary;Activity: Resting. Validationstatus: Approved Documented;;No;No;No;No;No;No;Yes;No
VU;3813;Stercorarius parasiticus;tyvjo;Fugler;obsr810318;31.07.2023 00:00:00;Andenes Marshlands;;Andøy;Nordland;5;69,27309;16,090551;POINT (543072 7685197);species;;http://www.gbif.org/occurrence/4658601669;;No;Yes;No;No;No;No;No;No
NT;204584;Mareca strepera;snadderand;Fugler;obsr1014643;12.07.2007 00:00:00;Storvatnet;;Andøy;Nordland;4;69,27174;16,043043;POINT (541199 7685014);species;;http://www.gbif.org/occurrence/2230637908;;No;No;No;No;No;No;Yes;No
VU;3813;Stercorarius parasiticus;tyvjo;Fugler;obsr1583418;11.08.2023 00:00:00;Kleivvatnet;;Andøy;Nordland;1;69,3084;16,092579;POINT (543082 7689135);species;;http://www.gbif.org/occurrence/4697390723;;No;Yes;No;No;No;No;No;No
NT;3799;Tringa totanus;rødstilk;Fugler;Knut Olsen|Tor Olsen;22.05.2015 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: PairInSuitableHabitat.;in pair;No;No;No;No;No;No;Yes;No
LC;3487;Aythya fuligula;toppand;Fugler;Oddvar Heggøy|Martin Eggen;26.06.2016 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;15;69,307254;16,095034;POINT (543181 7689009);species;;;;No;No;No;No;No;No;No;No
LC;3461;Anas platyrhynchos;stokkand;Fugler;Martin Eggen|Oddvar Heggøy;03.07.2017 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;21;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: InNestingHabitat. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
