proxyId;institution;collection;category;validScientificNameId;validScientificName;validScientificNameAuthorship;preferredPopularName;taxonGroupName;collector;dateTimeCollected;locality;coordinateUncertaintyInMeters;municipality;county;individualCount;basisOfRecord;identifiedBy;validated;catalogNumber;latitude;longitude;east;north;geometry;scientificNameRank;behavior;unspontaneus;unsureIdentification;hasImage;absent;notRecovered;dateLastModified;dateLastIdentified;occurrenceId;datasetName;datasetId;notes;habitat;sex;collectingMethod;recordNumber;fieldNumber;measurementMethod;georeferenceRemarks;preparations;otherCatalogNumbers;relatedResourceId;relationshipOfResource;typeStatus;eventTime;maximumElevationInMeters;minimumElevationInMeters;verbatimDepth;dynamicProperties;nodeId;institutionCode;collectionCode;popularNames;associatedReferences;hasErrors;blocked;qualityIssue
urn:uuid:22dd2bcb-03da-4fb0-be73-2b71182745f2;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;NT;3664;Haematopus ostralegus;Linnaeus, 1758;tjeld;Fugler;Stig  Rasmussen;02.05.2021 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400;Sortland;Nordland;2;HumanObservasjon;;True;26575691;68,745363;15,361434;514622;7626012;POINT (514622 7626012);species;stationary;False;False;False;False;False;25.09.2022 14:25:16;;urn:uuid:22dd2bcb-03da-4fb0-be73-2b71182745f2;;00000000-0000-0000-0000-000000000000;Activity: Resting. Validationstatus: Approved Documented;;;;;;;;;;;;;;;;;"{""Activity"":""Resting"",""ValidationStatus"":""Approved Documented"",""EventDate"":""2021-05-02/2021-05-02"",""Day"":""2"",""Month"":""5"",""Year"":""2021"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""2"",""IdentificationRemarks"":""Validator: Steve Baines""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""tjeld""},{""Lang"":""nn-NO"",""Name"":""tjeld""},{""Lang"":""se-NO"",""Name"":""cagan""}]";https://www.artsobservasjoner.no/Sighting/26575691;False;False;False
urn:uuid:a8cb375b-2c43-4982-99c6-aed16d169bce;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;LC;3499;Branta leucopsis;(Bechstein, 1803);hvitkinngås;Fugler;Ingunn Tombre|Johnny Bakken;11.05.2021 00:00:00;SelnesÅnstadBygd, Sortland, No;500;Sortland;Nordland;91;HumanObservasjon;;True;28315964;68,730749;15,405083;516399;7624394;POINT (516399 7624394);species;;False;False;False;False;False;26.08.2022 11:54:54;;urn:uuid:a8cb375b-2c43-4982-99c6-aed16d169bce;;00000000-0000-0000-0000-000000000000;Systematiske registreringer, NINA (MIGRAPOP-prosjektet). Validationstatus: Approved Documented;;;;;;;;;;;;;;;;;"{""ValidationStatus"":""Approved Documented"",""EventDate"":""2021-05-11/2021-05-11"",""Day"":""11"",""Month"":""5"",""Year"":""2021"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""91"",""IdentificationRemarks"":""Validator: Steve Baines""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""hvitkinngås""},{""Lang"":""nn-NO"",""Name"":""kvitkinngås""},{""Lang"":""se-NO"",""Name"":""vilgesnierčuonjá""}]";https://www.artsobservasjoner.no/Sighting/28315964;False;False;False
urn:uuid:ed85a013-e8b3-42e0-8bd9-076e305e5837;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;LC;3471;Anser anser;(Linnaeus, 1758);grågås;Fugler;Stig  Rasmussen;17.06.2018 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400;Sortland;Nordland;12;HumanObservasjon;;True;19702040;68,745363;15,361434;514622;7626012;POINT (514622 7626012);species;;False;False;False;False;False;09.09.2021 16:32:27;;urn:uuid:ed85a013-e8b3-42e0-8bd9-076e305e5837;;00000000-0000-0000-0000-000000000000;ca, obs. fra bil. på havet. Validationstatus: Approved Documented;;;;;;;;;;;;;18.0;;;;"{""ValidationStatus"":""Approved Documented"",""EventDate"":""2018-06-17/2018-06-17"",""EventTime"":""18:00:00/18:00:00"",""Day"":""17"",""Month"":""6"",""Year"":""2018"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""12"",""IdentificationRemarks"":""Validator: Steve Baines""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""grågås""},{""Lang"":""nn-NO"",""Name"":""grågås""},{""Lang"":""se-NO"",""Name"":""ránesčuonjá""}]";https://www.artsobservasjoner.no/Sighting/19702040;False;False;False
urn:uuid:64b4522d-8803-4e53-a6e7-73f211ffeeab;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;EN;3773;Numenius arquata;(Linnaeus, 1758);storspove;Fugler;Stig  Rasmussen;17.04.2021 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400;Sortland;Nordland;2;HumanObservasjon;;True;26430709;68,745363;15,361434;514622;7626012;POINT (514622 7626012);species;feeding;False;False;False;False;False;19.10.2022 09:16:57;;urn:uuid:64b4522d-8803-4e53-a6e7-73f211ffeeab;;00000000-0000-0000-0000-000000000000;Activity: Forage. Validationstatus: Approved Documented;;;;;;;;;;;;;;;;;"{""Activity"":""Forage"",""ValidationStatus"":""Approved Documented"",""EventDate"":""2021-04-17/2021-04-17"",""Day"":""17"",""Month"":""4"",""Year"":""2021"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""2"",""IdentificationRemarks"":""Validator: Steve Baines""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""storspove""},{""Lang"":""nn-NO"",""Name"":""storspove""},{""Lang"":""se-NO"",""Name"":""stuorraguškkástat""}]";https://www.artsobservasjoner.no/Sighting/26430709;False;False;False
urn:uuid:24443ca1-9750-4271-905d-01cfb96bb072;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;LC;3471;Anser anser;(Linnaeus, 1758);grågås;Fugler;Ingunn Tombre|Johnny Bakken;23.07.2021 00:00:00;Sandstrand, Sortland, No;500;Sortland;Nordland;22;HumanObservasjon;;True;28353287;68,746301;15,348058;514081;7626114;POINT (514081 7626114);species;;False;False;False;False;False;27.08.2022 10:15:04;;urn:uuid:24443ca1-9750-4271-905d-01cfb96bb072;;00000000-0000-0000-0000-000000000000;Systematiske registreringer, NINA-prosjekt. Validationstatus: Approved Documented;;;;;;;;;;;;;;;;;"{""ValidationStatus"":""Approved Documented"",""EventDate"":""2021-07-23/2021-07-23"",""Day"":""23"",""Month"":""7"",""Year"":""2021"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""22"",""IdentificationRemarks"":""Validator: Steve Baines""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""grågås""},{""Lang"":""nn-NO"",""Name"":""grågås""},{""Lang"":""se-NO"",""Name"":""ránesčuonjá""}]";https://www.artsobservasjoner.no/Sighting/28353287;False;False;False
nofninadn:fa:155879;NOF-NINA-DN;fa hos NOF-NINA-DN;VU;185920;Chloris chloris;(Linnaeus, 1758);grønnfink;Fugler;;15.06.1985 00:00:00;Sortland kommune;707;Sortland;Nordland;;HumanObservasjon;;False;155879;68,7407;15,3831;515502;7625498;POINT (515502 7625498);species;;False;False;False;False;False;15.06.1985 00:00:00;;NOFNINADN:FA:155879;;00000000-0000-0000-0000-000000000000;;;not recorded;;;;;;;;;;;;0;0;;"{""municipality"":""Sortland"",""coordinatePrecision"":""707"",""vernacularName"":""grønnfink""}";41;NOFNINADN;fa;"[{""Lang"":""nb-NO"",""Name"":""grønnfink""},{""Lang"":""nn-NO"",""Name"":""grønfink""},{""Lang"":""se-NO"",""Name"":""ruonábeibboš""}]";;False;False;False
urn:uuid:82f2b528-7b10-482f-85c2-34c09535e053;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;EN;3773;Numenius arquata;(Linnaeus, 1758);storspove;Fugler;Stig  Rasmussen;26.03.2021 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400;Sortland;Nordland;1;HumanObservasjon;;True;26246691;68,745363;15,361434;514622;7626012;POINT (514622 7626012);species;feeding;False;False;False;False;False;19.10.2022 09:20:00;;urn:uuid:82f2b528-7b10-482f-85c2-34c09535e053;;00000000-0000-0000-0000-000000000000;Innmark Activity: Forage. Validationstatus: Approved Documented;;;;;;;;;;;;;;;;;"{""Activity"":""Forage"",""ValidationStatus"":""Approved Documented"",""EventDate"":""2021-03-26/2021-03-26"",""Day"":""26"",""Month"":""3"",""Year"":""2021"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""1"",""IdentificationRemarks"":""Validator: Steve Baines""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""storspove""},{""Lang"":""nn-NO"",""Name"":""storspove""},{""Lang"":""se-NO"",""Name"":""stuorraguškkástat""}]";https://www.artsobservasjoner.no/Sighting/26246691;False;False;False
urn:uuid:8c7ef0ea-ee78-463c-98ed-c15a14224b7e;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;VU;3681;Larus canus;Linnaeus, 1758;fiskemåke;Fugler;Tone Mette Bjørstad;09.04.2017 00:00:00;Bygdnes, Sortland, No;300;Sortland;Nordland;20;HumanObservasjon;;False;16792929;68,733926;15,400627;516216;7624747;POINT (516216 7624747);species;feeding;False;False;False;False;False;13.04.2017 21:58:58;;urn:uuid:8c7ef0ea-ee78-463c-98ed-c15a14224b7e;;00000000-0000-0000-0000-000000000000;Activity: Forage.;;;;;;;OR;;;;;;;;;;"{""Activity"":""Forage"",""EventDate"":""2017-04-09/2017-04-09"",""Day"":""9"",""Month"":""4"",""Year"":""2017"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""20""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""fiskemåke""},{""Lang"":""nn-NO"",""Name"":""fiskemåse""},{""Lang"":""se-NO"",""Name"":""báiski""}]";https://www.artsobservasjoner.no/Sighting/16792929;False;False;False
urn:uuid:021b65c4-f638-40de-a210-9d91f390c871;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;LC;3499;Branta leucopsis;(Bechstein, 1803);hvitkinngås;Fugler;Stig  Rasmussen;13.05.2017 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400;Sortland;Nordland;450;HumanObservasjon;;True;17093400;68,745363;15,361434;514622;7626012;POINT (514622 7626012);species;feeding;False;False;False;False;False;09.09.2021 16:32:27;;urn:uuid:021b65c4-f638-40de-a210-9d91f390c871;;00000000-0000-0000-0000-000000000000;Antall ca. Activity: Forage. Validationstatus: Approved Documented;;;;;;;;;;;;;;;;;"{""Activity"":""Forage"",""ValidationStatus"":""Approved Documented"",""EventDate"":""2017-05-13/2017-05-13"",""Day"":""13"",""Month"":""5"",""Year"":""2017"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""450"",""IdentificationRemarks"":""Validator: Steve Baines""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""hvitkinngås""},{""Lang"":""nn-NO"",""Name"":""kvitkinngås""},{""Lang"":""se-NO"",""Name"":""vilgesnierčuonjá""}]";https://www.artsobservasjoner.no/Sighting/17093400;False;False;False
urn:uuid:b9384af8-792b-478b-9822-bf056f7162f2;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;EN;3773;Numenius arquata;(Linnaeus, 1758);storspove;Fugler;Stig  Rasmussen;01.05.2018 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400;Sortland;Nordland;2;HumanObservasjon;;True;19296403;68,745363;15,361434;514622;7626012;POINT (514622 7626012);species;feeding;False;False;False;False;False;09.09.2021 16:32:27;;urn:uuid:b9384af8-792b-478b-9822-bf056f7162f2;;00000000-0000-0000-0000-000000000000;Activity: Forage. Validationstatus: Approved Documented;;;;;;;;;;;;;;;;;"{""Activity"":""Forage"",""ValidationStatus"":""Approved Documented"",""EventDate"":""2018-05-01/2018-05-01"",""Day"":""1"",""Month"":""5"",""Year"":""2018"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""2"",""IdentificationRemarks"":""Validator: Steve Baines""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""storspove""},{""Lang"":""nn-NO"",""Name"":""storspove""},{""Lang"":""se-NO"",""Name"":""stuorraguškkástat""}]";https://www.artsobservasjoner.no/Sighting/19296403;False;False;False
